Class: wall, Score: 0.24, Coordinates: ymin=458.58960151672363, xmin=257.5583463907242, ymax=458.58960151672363, xmax=283.3645302057266, Width: width=930, Height: height=610, Position: x=270.4614382982254, y=458.58960151672363, Rotation: r=1, Size: l=25.80618381500244, w=13.027733564376831
Class: wall, Score: 0.24, Coordinates: ymin=250.05356758832932, xmin=762.574605345726, ymax=287.5284352898598, xmax=762.574605345726, Width: width=930, Height: height=610, Position: x=762.574605345726, y=268.79100143909454, Rotation: r=0, Size: l=37.47486770153046, w=10.17992377281189
Class: wall, Score: 0.23, Coordinates: ymin=54.48488429188728, xmin=393.69599372148514, ymax=54.48488429188728, xmax=423.9195790886879, Width: width=930, Height: height=610, Position: x=408.8077864050865, y=54.48488429188728, Rotation: r=1, Size: l=30.22358536720276, w=12.769095003604889
Class: door, Score: 0.23, Coordinates: ymin=320.37389636039734, xmin=580.6839805841446, ymax=320.37389636039734, xmax=607.670983672142, Width: width=930, Height: height=610, Position: x=594.1774821281433, y=320.37389636039734, Rotation: r=1, Size: l=26.987003087997437, w=22.519352436065674
Class: wall, Score: 0.23, Coordinates: ymin=466.58941745758057, xmin=262.5194835662842, ymax=466.58941745758057, xmax=300.89505672454834, Width: width=930, Height: height=610, Position: x=281.70727014541626, y=466.58941745758057, Rotation: r=1, Size: l=38.37557315826416, w=10.686442852020264
Class: wall, Score: 0.23, Coordinates: ymin=315.8164983987808, xmin=262.7643835544586, ymax=369.15410697460175, xmax=262.7643835544586, Width: width=930, Height: height=610, Position: x=262.7643835544586, y=342.4853026866913, Rotation: r=0, Size: l=53.33760857582092, w=9.086798429489136
Class: wall, Score: 0.22, Coordinates: ymin=387.80037105083466, xmin=459.9632392823696, ymax=437.24453032016754, xmax=459.9632392823696, Width: width=930, Height: height=610, Position: x=459.9632392823696, y=412.5224506855011, Rotation: r=0, Size: l=49.444159269332886, w=17.200898230075836
Class: wall, Score: 0.22, Coordinates: ymin=464.7472244501114, xmin=247.91132122278214, ymax=464.7472244501114, xmax=310.1454636454582, Width: width=930, Height: height=610, Position: x=279.0283924341202, y=464.7472244501114, Rotation: r=1, Size: l=62.234142422676086, w=10.21857738494873
Class: window, Score: 0.22, Coordinates: ymin=328.1386524438858, xmin=525.8788776397705, ymax=328.1386524438858, xmax=547.5945997238159, Width: width=930, Height: height=610, Position: x=536.7367386817932, y=328.1386524438858, Rotation: r=1, Size: l=21.71572208404541, w=14.578437805175781
Class: window, Score: 0.22, Coordinates: ymin=429.06066596508026, xmin=684.8324400186539, ymax=429.06066596508026, xmax=748.5360378026962, Width: width=930, Height: height=610, Position: x=716.684238910675, y=429.06066596508026, Rotation: r=1, Size: l=63.70359778404236, w=9.07181978225708
Class: wall, Score: 0.22, Coordinates: ymin=425.99754333496094, xmin=729.6795147657394, ymax=425.99754333496094, xmax=774.4412237405777, Width: width=930, Height: height=610, Position: x=752.0603692531586, y=425.99754333496094, Rotation: r=1, Size: l=44.76170897483826, w=10.195162296295166
Class: wall, Score: 0.22, Coordinates: ymin=92.60503947734833, xmin=263.91574054956436, ymax=175.15964299440384, xmax=263.91574054956436, Width: width=930, Height: height=610, Position: x=263.91574054956436, y=133.88234123587608, Rotation: r=0, Size: l=82.55460351705551, w=11.47648572921753
Class: wall, Score: 0.21, Coordinates: ymin=417.3824268579483, xmin=273.47839772701263, ymax=477.0642155408859, xmax=273.47839772701263, Width: width=930, Height: height=610, Position: x=273.47839772701263, y=447.2233211994171, Rotation: r=0, Size: l=59.68178868293762, w=14.36146080493927
Class: wall, Score: 0.21, Coordinates: ymin=58.74462157487869, xmin=481.1764258146286, ymax=58.74462157487869, xmax=543.779359459877, Width: width=930, Height: height=610, Position: x=512.4778926372528, y=58.74462157487869, Rotation: r=1, Size: l=62.60293364524841, w=9.42780002951622
Class: wall, Score: 0.21, Coordinates: ymin=422.2566556930542, xmin=736.4570581912994, ymax=422.2566556930542, xmax=769.4013726711273, Width: width=930, Height: height=610, Position: x=752.9292154312134, y=422.2566556930542, Rotation: r=1, Size: l=32.94431447982788, w=18.87416124343872
